SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,March-28-2023,Single Family Residential,910 E 34th St,Tacoma,WA,98404,370000,2,1.0,McKinley,1123,6500,1907,,329,,Sold,,,https://www.redfin.com/WA/Tacoma/910-E-34th-St-98404/home/2716810,NWMLS as Distributed by MLS Grid,2036618,N,Y,47.2314729,-122.4190211
PAST SALE,March-7-2023,Single Family Residential,908 E 54th St,Tacoma,WA,98404,395000,4,2.0,Tacoma,1613,6000,1949,,245,,Sold,,,https://www.redfin.com/WA/Tacoma/908-E-54th-St-98404/home/2984409,NWMLS as Distributed by MLS Grid,2030144,N,Y,47.2078768,-122.4186026
PAST SALE,December-19-2023,Single Family Residential,816 E 64th St,Tacoma,WA,98404,383000,3,2.0,East Tacoma,1012,4440,1997,,378,,Sold,,,https://www.redfin.com/WA/Tacoma/816-E-64th-St-98404/home/2977685,NWMLS as Distributed by MLS Grid,2178269,N,Y,47.1988102,-122.4199938
PAST SALE,June-30-2023,Single Family Residential,1326 E 42nd St,Tacoma,WA,98404,595000,6,3.0,Tacoma,2658,6426,2010,,224,25,Sold,,,https://www.redfin.com/WA/Tacoma/1326-E-42nd-St-98404/home/22792500,NWMLS as Distributed by MLS Grid,2074585,N,Y,47.2191589,-122.411425
PAST SALE,October-23-2023,Single Family Residential,4625 E G St,Tacoma,WA,98404,350000,2,1.0,East Tacoma,773,5100,1912,,453,,Sold,,,https://www.redfin.com/WA/Tacoma/4625-E-G-St-98404/home/2787739,NWMLS as Distributed by MLS Grid,2163350,N,Y,47.2142139,-122.4216751
PAST SALE,February-28-2023,Single Family Residential,421 E 64th St,Tacoma,WA,98404,350000,3,1.0,Tacoma,1012,6000,1925,,346,,Sold,,,https://www.redfin.com/WA/Tacoma/421-E-64th-St-98404/home/2735317,NWMLS as Distributed by MLS Grid,2030466,N,Y,47.1992481,-122.4250185
PAST SALE,April-14-2023,Single Family Residential,7002 E Tonia St,Tacoma,WA,98404,399000,3,2.0,East Tacoma,1048,8000,1969,,381,,Sold,,,https://www.redfin.com/WA/Tacoma/7002-E-Tonia-St-98404/home/2732013,NWMLS as Distributed by MLS Grid,2033109,N,Y,47.19367,-122.4022746
PAST SALE,January-10-2024,Single Family Residential,3222 E D St,Tacoma,WA,98404,355000,3,1.5,Tacoma,3380,9000,1924,,105,,Sold,,,https://www.redfin.com/WA/Tacoma/3222-E-D-St-98404/home/2716133,NWMLS as Distributed by MLS Grid,2186142,N,Y,47.2320241,-122.4278775
PAST SALE,June-29-2023,Single Family Residential,609 E 69th St,Tacoma,WA,98404,412000,3,2.0,Tacoma,1165,5600,1978,,354,,Sold,,,https://www.redfin.com/WA/Tacoma/609-E-69th-St-98404/home/2971196,NWMLS as Distributed by MLS Grid,2065364,N,Y,47.1950292,-122.4226761
PAST SALE,March-9-2023,Single Family Residential,3763 Court Q,Tacoma,WA,98404,520000,3,2.5,East Tacoma,1890,5050,2020,,275,10,Sold,,,https://www.redfin.com/WA/Tacoma/3763-Court-Q-98404/home/172331837,NWMLS as Distributed by MLS Grid,2031601,N,Y,47.224006,-122.4052415
PAST SALE,July-28-2023,Single Family Residential,912 E 31st St,Tacoma,WA,98404,506000,4,2.0,Tacoma,1682,8125,1907,,301,,Sold,,,https://www.redfin.com/WA/Tacoma/912-E-31st-St-98404/home/2715659,NWMLS as Distributed by MLS Grid,2058259,N,Y,47.2344421,-122.4195666
PAST SALE,August-4-2023,Single Family Residential,4210 E R St,Tacoma,WA,98404,506000,4,2.5,Tacoma,2104,3114,2007,,240,100,Sold,,,https://www.redfin.com/WA/Tacoma/4210-E-R-St-98404/home/12406875,NWMLS as Distributed by MLS Grid,2073496,N,Y,47.2189255,-122.4030878
PAST SALE,April-10-2023,Single Family Residential,251 E 72nd St,Tacoma,WA,98404,435000,3,2.0,Tacoma,1334,9800,1951,,326,,Sold,,,https://www.redfin.com/WA/Tacoma/251-E-72nd-St-98404/home/2971113,NWMLS as Distributed by MLS Grid,2028469,N,Y,47.1921692,-122.4260971
PAST SALE,July-7-2023,Single Family Residential,1005 E 35th St,Tacoma,WA,98404,340000,4,2.0,East Tacoma,1640,9750,1900,,207,,Sold,,,https://www.redfin.com/WA/Tacoma/1005-E-35th-St-98404/home/2717299,NWMLS as Distributed by MLS Grid,2068554,N,Y,47.2311109,-122.4176277
PAST SALE,November-16-2023,Single Family Residential,6628 McKinley Ave,Tacoma,WA,98404,440000,3,2.0,East Tacoma,1228,5976,2008,,358,,Sold,,,https://www.redfin.com/WA/Tacoma/6628-McKinley-Ave-98404/home/16888642,NWMLS as Distributed by MLS Grid,2151040,N,Y,47.196105,-122.421694
PAST SALE,August-16-2023,Single Family Residential,4873 E Q St,Tacoma,WA,98404,460000,3,2.5,Se Tacoma,1548,3061,2015,,297,95,Sold,,,https://www.redfin.com/WA/Tacoma/4873-E-Q-St-98404/home/39892385,NWMLS as Distributed by MLS Grid,2055794,N,Y,47.2121276,-122.4065154
PAST SALE,May-31-2023,Single Family Residential,3625 E K St,Tacoma,WA,98404,439000,3,2.0,Tacoma,1280,5000,1905,,343,,Sold,,,https://www.redfin.com/WA/Tacoma/3625-E-K-St-98404/home/2918585,NWMLS as Distributed by MLS Grid,2047717,N,Y,47.2253887,-122.4160502
PAST SALE,September-25-2023,Single Family Residential,314 E Tanglewood Ave,Tacoma,WA,98404,412000,3,2.5,Tacoma,1572,6000,1944,,262,,Sold,,,https://www.redfin.com/WA/Tacoma/314-E-Tanglewood-Ave-98404/home/2980104,NWMLS as Distributed by MLS Grid,2138556,N,Y,47.2085375,-122.4273873
PAST SALE,October-13-2023,Single Family Residential,1821 E Sherman St,Tacoma,WA,98404,345000,3,2.0,Indian Addition,1152,6500,1996,,299,,Sold,,,https://www.redfin.com/WA/Tacoma/1821-E-Sherman-St-98404/home/2846568,NWMLS as Distributed by MLS Grid,2142044,N,Y,47.2285846,-122.4039369
PAST SALE,May-10-2023,Single Family Residential,1412 E 40th St,Tacoma,WA,98404,439950,3,2.0,Tacoma,1398,7931,2015,,315,53,Sold,,,https://www.redfin.com/WA/Tacoma/1412-E-40th-St-98404/home/45423307,NWMLS as Distributed by MLS Grid,2041220,N,Y,47.2206794,-122.4099782
PAST SALE,February-23-2023,Single Family Residential,3644 E F St,Tacoma,WA,98404,435702,3,2.0,Tacoma,1451,5964,1905,,300,,Sold,,,https://www.redfin.com/WA/Tacoma/3644-E-F-St-98404/home/2983147,NWMLS as Distributed by MLS Grid,2022290,N,Y,47.2248922,-122.4239554
PAST SALE,November-21-2023,Single Family Residential,3723 E Spokane St,Tacoma,WA,98404,379999,2,1.0,Tacoma,858,5000,1951,,443,,Sold,,,https://www.redfin.com/WA/Tacoma/3723-E-Spokane-St-98404/home/2918689,NWMLS as Distributed by MLS Grid,2164119,N,Y,47.2238606,-122.4194003
PAST SALE,March-3-2023,Single Family Residential,3813 E Q St,Tacoma,WA,98404,480000,3,2.5,Se Tacoma,2024,3540,2005,,237,100,Sold,,,https://www.redfin.com/WA/Tacoma/3813-E-Q-St-98404/home/3042674,NWMLS as Distributed by MLS Grid,2014926,N,Y,47.2217538,-122.4054076
